video_id,language,subtopic,timecode,section,line
frOfAmount-en,en,A fraction of an amount,0:06,why it matters,Split the 60 into 4 equal parts first. Then take three of them.
frOfAmount-en,en,A fraction of an amount,0:13,into the method,Here is how to do it.
frOfAmount-en,en,A fraction of an amount,0:16,step 1 — 60 ÷ 4 = 15,Divide by the bottom number. That is one quarter. The bottom tells you how many pieces to cut the amount into.
frOfAmount-en,en,A fraction of an amount,0:27,step 2 — 15 × 3 = 45,"Multiply by the top number. You want three of those quarters. Bottom first, then top. Doing it the other way round still works but the numbers get ugly."
frOfAmount-en,en,A fraction of an amount,0:41,step 3 — = £45,Forty-five pounds spent. Three quarters should be most of it but not all. 45 out of 60 looks right.
frOfAmount-en,en,A fraction of an amount,0:50,close,That is the whole method. Try one yourself.
frOfAmount-fr,fr,Une fraction d'une quantité,0:00,the situation,60 £ en poche. Tu en dépenses les trois quarts.
frOfAmount-fr,fr,Une fraction d'une quantité,0:06,why it matters,Découpe d'abord 60 en 4 parts égales. Puis prends-en trois.
frOfAmount-fr,fr,Une fraction d'une quantité,0:11,into the method,Voici comment faire.
frOfAmount-fr,fr,Une fraction d'une quantité,0:14,step 1 — 60 ÷ 4 = 15,Divise par le dénominateur. C'est un quart. Le dénominateur dit en combien de parts découper.
frOfAmount-fr,fr,Une fraction d'une quantité,0:22,step 2 — 15 × 3 = 45,"Multiplie par le numérateur. Tu veux trois de ces quarts. Le bas d'abord, puis le haut. L'inverse marche aussi mais les nombres deviennent moches."
frOfAmount-fr,fr,Une fraction d'une quantité,0:34,step 3 — = £45,"Quarante-cinq livres dépensées. Trois quarts, c'est presque tout mais pas tout. 45 sur 60 semble juste."
frOfAmount-fr,fr,Une fraction d'une quantité,0:42,close,Voilà toute la méthode. Essaie-en une.
longDiv-en,en,Long division,0:00,the situation,"Fatou has 486 mangoes to take to the market. She packs them into boxes, 18 to a box."
longDiv-en,en,Long division,0:09,why it matters,"She needs to know how many boxes to bring — too few and the mangoes spoil, too many and she is carrying air."
longDiv-en,en,Long division,0:21,into the method,Here is how to do it.
longDiv-en,en,Long division,0:24,step 1 — 18 ) 486,"Write it the long way. The 486 goes inside, the 18 outside. The layout is doing the remembering for you — it keeps track of what is left."
longDiv-en,en,Long division,0:38,step 2 — 18 into 4?  no,Can 18 go into 4? No. So look at 48 instead. You always start with the smallest part of the number that is big enough.
longDiv-en,en,Long division,0:50,"step 3 — 18 into 48 = 2,  2×18 = 36","18 twos are 36. 18 threes are 54 — too big. So 2. You are asking how many whole 18s fit, never more."
longDiv-en,en,Long division,1:02,step 4 — 48 − 36 = 12,"Take the 36 away. 12 is left over from the 48. That 12 has not been shared yet, so it must come down into the next step."
longDiv-en,en,Long division,1:15,step 5 — bring down the 6 → 126,"Bring the 6 down beside the 12. Now you have 126. The 12 was really 120. Adding the 6 makes 126, which is what is genuinely left."
longDiv-en,en,Long division,1:28,"step 6 — 18 into 126 = 7,  7×18 = 126","18 sevens are exactly 126. Nothing left. When it lands exactly, there is no remainder — every mango is in a box."
longDiv-en,en,Long division,1:39,step 7 — 486 ÷ 18 = 27,Fatou needs 27 boxes. Check it the other way: 27 × 18 should give 486 back.
longDiv-en,en,Long division,1:48,close,That is the whole method. Try one yourself.
longDiv-fr,fr,Division posée,0:00,the situation,"Fatou a 486 mangues à porter au marché. Elle les met en cartons, 18 par carton."
longDiv-fr,fr,Division posée,0:08,why it matters,"Elle doit savoir combien de cartons apporter — trop peu et les mangues s'abîment, trop et elle porte du vide."
longDiv-fr,fr,Division posée,0:18,into the method,Voici comment faire.
longDiv-fr,fr,Division posée,0:21,step 1 — 18 ) 486,"Écris-la en division posée. 486 dedans, 18 dehors. La disposition se souvient à ta place — elle garde la trace de ce qui reste."
longDiv-fr,fr,Division posée,0:33,step 2 — 18 into 4?  no,18 entre-t-il dans 4 ? Non. Regarde donc 48. On commence toujours par la plus petite partie du nombre qui soit assez grande.
longDiv-fr,fr,Division posée,0:45,"step 3 — 18 into 48 = 2,  2×18 = 36","Deux fois 18 font 36. Trois fois 18 font 54 — trop. Donc 2. Tu cherches combien de 18 entiers tiennent, jamais plus."
longDiv-fr,fr,Division posée,0:56,step 4 — 48 − 36 = 12,"Enlève 36. Il reste 12 sur 48. Ces 12 ne sont pas encore partagés, ils descendent donc à l'étape suivante."
longDiv-fr,fr,Division posée,1:06,step 5 — bring down the 6 → 126,"Abaisse le 6 à côté du 12. Tu as maintenant 126. Ce 12 valait en fait 120. Avec le 6, cela fait 126, ce qui reste vraiment."
longDiv-fr,fr,Division posée,1:19,"step 6 — 18 into 126 = 7,  7×18 = 126","Sept fois 18 font exactement 126. Il ne reste rien. Quand ça tombe juste, il n'y a pas de reste — chaque mangue est en carton."
longDiv-fr,fr,Division posée,1:32,step 7 — 486 ÷ 18 = 27,Fatou a besoin de 27 cartons. Vérifie à l'envers : 27 × 18 doit redonner 486.
longDiv-fr,fr,Division posée,1:40,close,Voilà toute la méthode. Essaie-en une.
longMul-en,en,Long multiplication,0:00,the situation,"A builder is laying a wall. Each row takes 46 bricks, and the wall is 27 rows high."
longMul-en,en,Long multiplication,0:09,why it matters,He has to order the bricks before he starts. Order too few and the lorry comes back next week.
longMul-en,en,Long multiplication,0:19,into the method,Here is how to do it.
longMul-en,en,Long multiplication,0:23,step 1 — 46 × 7 = 322,First the 7 rows. 46 sevens are 322. Splitting 27 into 7 and 20 is the whole trick — both parts are easy on their own.
longMul-en,en,Long multiplication,0:35,step 2 — 46 × 20 = 920,"Now the 20 rows. 46 × 2 = 92, so 46 × 20 = 920. THIS is why the second row starts with a zero. You are multiplying by twenty, not by two."
longMul-en,en,Long multiplication,0:51,step 3 — 322 + 920 = 1242,Add the two rows together. 7 rows plus 20 rows is 27 rows. The addition is the reassembling.
longMul-en,en,Long multiplication,1:01,step 4 — 46 × 27 = 1 242,"He orders 1 242 bricks. The forgotten zero is the commonest mistake in this method, and it costs the whole mark."
longMul-en,en,Long multiplication,1:11,the trap,One last thing — the mistake to watch for. Careful: the second row starts with a zero.
longMul-en,en,Long multiplication,1:20,close,That is the whole method. Try one yourself.
longMul-fr,fr,Multiplication posée,0:00,the situation,"Un maçon monte un mur. Chaque rangée prend 46 briques, et le mur fait 27 rangées."
longMul-fr,fr,Multiplication posée,0:08,why it matters,"Il doit commander les briques avant de commencer. Trop peu, et le camion revient la semaine prochaine."
longMul-fr,fr,Multiplication posée,0:17,into the method,Voici comment faire.
longMul-fr,fr,Multiplication posée,0:20,step 1 — 46 × 7 = 322,D'abord les 7 rangées. Sept fois 46 font 322. Couper 27 en 7 et 20 est toute l'astuce — chaque partie est facile seule.
longMul-fr,fr,Multiplication posée,0:32,step 2 — 46 × 20 = 920,"Puis les 20 rangées. 46 × 2 = 92, donc 46 × 20 = 920. VOILÀ pourquoi la deuxième ligne commence par un zéro. Tu multiplies par vingt, pas par deux."
longMul-fr,fr,Multiplication posée,0:47,step 3 — 322 + 920 = 1242,Additionne les deux lignes. 7 rangées plus 20 rangées font 27 rangées. L'addition remet tout ensemble.
longMul-fr,fr,Multiplication posée,0:55,step 4 — 46 × 27 = 1 242,"Il commande 1 242 briques. Le zéro oublié est l'erreur la plus courante, et elle coûte tout le point."
longMul-fr,fr,Multiplication posée,1:05,the trap,Une dernière chose — l'erreur à éviter. Attention : la deuxième ligne commence par un zéro.
longMul-fr,fr,Multiplication posée,1:13,close,Voilà toute la méthode. Essaie-en une.
mean-en,en,The mean,0:00,the situation,"Three fish weighed 5 kg, 3 kg and 10 kg."
mean-en,en,The mean,0:06,why it matters,The mean is what each would weigh if you shared the weight out evenly.
mean-en,en,The mean,0:13,into the method,Here is how to do it.
mean-en,en,The mean,0:17,step 1 — 5 + 3 + 10 = 18,Add them all together. You are pooling everything before sharing it back out.
mean-en,en,The mean,0:24,step 2 — 18 ÷ 3 = 6,"Divide by how many there were. Count how many, not how big. Three fish means divide by three."
mean-en,en,The mean,0:33,step 3 — mean = 6 kg,"Six kilograms each, if they were all the same. The mean sits between the smallest and the biggest. If yours does not, check again."
mean-en,en,The mean,0:45,close,That is the whole method. Try one yourself.
mean-fr,fr,La moyenne,0:00,the situation,"Trois poissons pesaient 5 kg, 3 kg et 10 kg."
mean-fr,fr,La moyenne,0:06,why it matters,"La moyenne, c'est ce que pèserait chacun si le poids était partagé équitablement."
mean-fr,fr,La moyenne,0:13,into the method,Voici comment faire.
mean-fr,fr,La moyenne,0:16,step 1 — 5 + 3 + 10 = 18,Additionne-les toutes. Tu mets tout en commun avant de repartager.
mean-fr,fr,La moyenne,0:21,step 2 — 18 ÷ 3 = 6,"Divise par le nombre de valeurs. Compte combien, pas la taille. Trois poissons, donc divise par trois."
mean-fr,fr,La moyenne,0:30,step 3 — mean = 6 kg,"Six kilos chacun, s'ils étaient tous pareils. La moyenne est entre le plus petit et le plus grand. Sinon, recommence."
mean-fr,fr,La moyenne,0:40,close,Voilà toute la méthode. Essaie-en une.
mentalPV-en,en,Using what you know,0:00,the situation,Binta has 30 boxes of eggs. Seven eggs in every box.
mentalPV-en,en,Using what you know,0:06,why it matters,She already knows 3 sevens are 21. Thirty boxes is ten times three boxes.
mentalPV-en,en,Using what you know,0:14,into the method,Here is how to do it.
mentalPV-en,en,Using what you know,0:17,step 1 — 3 × 7 = 21,Do the easy one first. Three sevens are 21. You are not learning a new fact. You are using one you have.
mentalPV-en,en,Using what you know,0:28,step 2 — 30 is 10 lots of 3,Thirty boxes is ten times as many as three boxes. Ten times bigger going in means ten times bigger coming out.
mentalPV-en,en,Using what you know,0:39,step 3 — 21 × 10 = 210,So 30 × 7 is 210. This is the most-asked thing in the whole test. It is worth doing until it is automatic.
mentalPV-en,en,Using what you know,0:50,close,That is the whole method. Try one yourself.
mentalPV-fr,fr,Se servir de ce qu'on sait,0:00,the situation,Binta a 30 boîtes d'œufs. Sept œufs dans chaque boîte.
mentalPV-fr,fr,Se servir de ce qu'on sait,0:06,why it matters,"Elle sait déjà que 3 fois 7 font 21. Trente boîtes, c'est dix fois trois boîtes."
mentalPV-fr,fr,Se servir de ce qu'on sait,0:14,into the method,Voici comment faire.
mentalPV-fr,fr,Se servir de ce qu'on sait,0:17,step 1 — 3 × 7 = 21,Fais d'abord le facile. Trois fois sept font 21. Tu n'apprends pas un fait nouveau. Tu te sers d'un fait que tu as déjà.
mentalPV-fr,fr,Se servir de ce qu'on sait,0:29,step 2 — 30 is 10 lots of 3,"Trente boîtes, c'est dix fois plus que trois boîtes. Dix fois plus grand à l'entrée, dix fois plus grand à la sortie."
mentalPV-fr,fr,Se servir de ce qu'on sait,0:40,step 3 — 21 × 10 = 210,Donc 30 × 7 font 210. C'est ce qu'on demande le plus dans tout le test. Ça vaut la peine jusqu'à l'automatisme.
mentalPV-fr,fr,Se servir de ce qu'on sait,0:51,close,Voilà toute la méthode. Essaie-en une.
metric-en,en,Changing units,0:00,the situation,A bottle says 1.5 litres. The recipe asks for millilitres.
metric-en,en,Changing units,0:06,why it matters,Milli means a thousandth. So one litre is a thousand of them.
metric-en,en,Changing units,0:12,into the method,Here is how to do it.
metric-en,en,Changing units,0:16,step 1 — 1 l = 1000 ml,"Know the four that matter: km–m, m–cm, kg–g, l–ml. Three of those four are × 1000. Only m to cm is × 100."
metric-en,en,Changing units,0:27,step 2 — smaller unit → bigger number,"Going to a smaller unit means more of them, so multiply. Ask yourself: is the answer going to be bigger or smaller? Then you cannot pick the wrong way."
metric-en,en,Changing units,0:42,step 3 — 1.5 × 1000 = 1500 ml,Fifteen hundred millilitres. 1.5 litres could never be 0.0015 of anything. The size check catches the slip.
metric-en,en,Changing units,0:50,the trap,One last thing — the mistake to watch for. Careful: smaller unit means a bigger number.
metric-en,en,Changing units,0:59,close,That is the whole method. Try one yourself.
metric-fr,fr,Changer d'unité,0:00,the situation,"Une bouteille indique 1,5 litre. La recette demande des millilitres."
metric-fr,fr,Changer d'unité,0:06,why it matters,Milli veut dire millième. Un litre en contient donc mille.
metric-fr,fr,Changer d'unité,0:11,into the method,Voici comment faire.
metric-fr,fr,Changer d'unité,0:14,step 1 — 1 l = 1000 ml,"Retiens les quatre qui comptent : km–m, m–cm, kg–g, l–ml. Trois de ces quatre sont × 1000. Seul m vers cm est × 100."
metric-fr,fr,Changer d'unité,0:26,step 2 — smaller unit → bigger number,"Vers une unité plus petite, il y en a plus : on multiplie. Demande-toi : la réponse sera-t-elle plus grande ou plus petite ? Impossible de se tromper de sens."
metric-fr,fr,Changer d'unité,0:41,step 3 — 1.5 × 1000 = 1500 ml,"Mille cinq cents millilitres. 1,5 litre ne peut pas valoir 0,0015. Le contrôle de taille rattrape l'erreur."
metric-fr,fr,Changer d'unité,0:49,the trap,"Une dernière chose — l'erreur à éviter. Attention : unité plus petite, nombre plus grand."
metric-fr,fr,Changer d'unité,0:57,close,Voilà toute la méthode. Essaie-en une.
ooo-en,en,Which comes first,0:00,the situation,Tickets cost £4. You buy 3 and you already had £5.
ooo-en,en,Which comes first,0:06,why it matters,5 + 3 × 4. Left to right gives 32. That is wrong — and it is wrong by a lot.
ooo-en,en,Which comes first,0:17,into the method,Here is how to do it.
ooo-en,en,Which comes first,0:20,step 1 — 3 × 4 = 12,"Multiplication happens first, wherever it sits. × and ÷ bind more tightly than + and −. They grab their numbers first."
ooo-en,en,Which comes first,0:31,step 2 — 5 + 12 = 17,"Then the addition. 17, not 32. Reading left to right is the single most expensive habit in arithmetic."
ooo-en,en,Which comes first,0:40,step 3 — brackets beat everything,"(5 + 3) × 4 = 32. Brackets say “do me first”. If you want the adding first, you have to say so with brackets."
ooo-en,en,Which comes first,0:53,the trap,One last thing — the mistake to watch for. Careful: not left to right.
ooo-en,en,Which comes first,1:00,close,That is the whole method. Try one yourself.
ooo-fr,fr,Qui passe en premier,0:00,the situation,Les billets coûtent 4 £. Tu en achètes 3 et tu avais déjà 5 £.
ooo-fr,fr,Qui passe en premier,0:08,why it matters,"5 + 3 × 4. De gauche à droite, ça fait 32. C'est faux — et très faux."
ooo-fr,fr,Qui passe en premier,0:17,into the method,Voici comment faire.
ooo-fr,fr,Qui passe en premier,0:20,step 1 — 3 × 4 = 12,"La multiplication passe d'abord, où qu'elle soit. × et ÷ sont plus « collants » que + et −. Ils prennent leurs nombres d'abord."
ooo-fr,fr,Qui passe en premier,0:32,step 2 — 5 + 12 = 17,"Ensuite l'addition. 17, pas 32. Lire de gauche à droite est l'habitude la plus coûteuse en calcul."
ooo-fr,fr,Qui passe en premier,0:41,step 3 — brackets beat everything,"(5 + 3) × 4 = 32. Les parenthèses disent « moi d'abord ». Si tu veux additionner d'abord, il faut le dire avec des parenthèses."
ooo-fr,fr,Qui passe en premier,0:53,the trap,Une dernière chose — l'erreur à éviter. Attention : pas de gauche à droite.
ooo-fr,fr,Qui passe en premier,1:01,close,Voilà toute la méthode. Essaie-en une.
pcOf-en,en,Percentages of amounts,0:00,the situation,A pair of trainers costs £60. The shop takes 15% off in the sale.
pcOf-en,en,Percentages of amounts,0:07,why it matters,Per cent means “out of a hundred”. 15% means 15 for every 100.
pcOf-en,en,Percentages of amounts,0:14,into the method,Here is how to do it.
pcOf-en,en,Percentages of amounts,0:18,step 1 — 10% of 60 = 6,10% is one tenth. Divide by 10. 10% is the one you should never have to think about. Everything else is built from it.
pcOf-en,en,Percentages of amounts,0:30,step 2 — 5% of 60 = 3,"5% is half of 10%. Half of 6 is 3. Halving is easier than dividing by 20, and it is the same thing."
pcOf-en,en,Percentages of amounts,0:42,step 3 — 6 + 3 = 9,"15% is 10% and 5% together. £9 off. Any percentage can be built from 10%, 5% and 1%. You never need a formula."
pcOf-en,en,Percentages of amounts,0:53,the trap,"One last thing — the mistake to watch for. Careful: find 10% first, then build it."
pcOf-en,en,Percentages of amounts,1:01,close,That is the whole method. Try one yourself.
pcOf-fr,fr,Pourcentages d'une quantité,0:00,the situation,Une paire de baskets coûte 60 £. Le magasin fait 15 % de réduction.
pcOf-fr,fr,Pourcentages d'une quantité,0:07,why it matters,"Pour cent veut dire « sur cent ». 15 %, c'est 15 pour chaque 100."
pcOf-fr,fr,Pourcentages d'une quantité,0:15,into the method,Voici comment faire.
pcOf-fr,fr,Pourcentages d'une quantité,0:18,step 1 — 10% of 60 = 6,"10 %, c'est un dixième. Divise par 10. 10 % est celui qu'on ne doit jamais avoir à chercher. Tout le reste se construit dessus."
pcOf-fr,fr,Pourcentages d'une quantité,0:31,step 2 — 5% of 60 = 3,"5 %, c'est la moitié de 10 %. La moitié de 6 fait 3. Prendre la moitié est plus simple que diviser par 20, et c'est pareil."
pcOf-fr,fr,Pourcentages d'une quantité,0:44,step 3 — 6 + 3 = 9,"15 %, c'est 10 % et 5 % ensemble. 9 £ de réduction. Tout pourcentage se construit à partir de 10 %, 5 % et 1 %. Aucune formule n'est nécessaire."
pcOf-fr,fr,Pourcentages d'une quantité,0:59,the trap,"Une dernière chose — l'erreur à éviter. Attention : trouve 10 % d'abord, puis construis."
pcOf-fr,fr,Pourcentages d'une quantité,1:07,close,Voilà toute la méthode. Essaie-en une.
pow10-en,en,"Ten, a hundred, a thousand",0:00,the situation,One balloon costs 24p. How much for ten? For a hundred?
pow10-en,en,"Ten, a hundred, a thousand",0:06,why it matters,The digits take a step to the left each time. They do not gain a zero — they move.
pow10-en,en,"Ten, a hundred, a thousand",0:16,into the method,Here is how to do it.
pow10-en,en,"Ten, a hundred, a thousand",0:20,step 1 — 2 4 → 2 4 0,"Every digit shifts one place left. The 4 was ones, now it is tens. The zero appears because the ones column is now empty, not because you added it."
pow10-en,en,"Ten, a hundred, a thousand",0:34,step 2 — × 100 = two places,"A hundred is ten tens, so two steps left. One zero in the 10, two in the 100, three in the 1000 — that is how many steps."
pow10-en,en,"Ten, a hundred, a thousand",0:47,step 3 — ÷ 10 = one place right,Dividing sends them back the other way. This is why 3.5 × 10 is 35 and not 3.50. Adding a zero is a trick that breaks on decimals.
pow10-en,en,"Ten, a hundred, a thousand",1:01,close,That is the whole method. Try one yourself.
pow10-fr,fr,"Dix, cent, mille",0:00,the situation,Un ballon coûte 24 p. Combien pour dix ? Pour cent ?
pow10-fr,fr,"Dix, cent, mille",0:07,why it matters,Les chiffres font un pas à gauche à chaque fois. Ils ne gagnent pas un zéro — ils bougent.
pow10-fr,fr,"Dix, cent, mille",0:16,into the method,Voici comment faire.
pow10-fr,fr,"Dix, cent, mille",0:19,step 1 — 2 4 → 2 4 0,"Chaque chiffre se décale d'une place à gauche. Le 4 était unité, il est dizaine. Le zéro apparaît parce que la colonne des unités est vide, pas parce qu'on l'a ajouté."
pow10-fr,fr,"Dix, cent, mille",0:34,step 2 — × 100 = two places,"Cent, c'est dix dizaines, donc deux pas à gauche. Un zéro dans 10, deux dans 100, trois dans 1000 — voilà le nombre de pas."
pow10-fr,fr,"Dix, cent, mille",0:46,step 3 — ÷ 10 = one place right,"Diviser les renvoie dans l'autre sens. C'est pourquoi 3,5 × 10 fait 35 et non 3,50. Ajouter un zéro est une astuce qui casse sur les décimaux."
pow10-fr,fr,"Dix, cent, mille",1:00,close,Voilà toute la méthode. Essaie-en une.
primes-en,en,Prime numbers,0:00,the situation,13 biscuits. Can you share them fairly between any group?
primes-en,en,Prime numbers,0:06,why it matters,"Not between 2, 3, 4, 5, 6… only between 1 person or 13. That makes 13 prime."
primes-en,en,Prime numbers,0:14,into the method,Here is how to do it.
primes-en,en,Prime numbers,0:18,step 1 — 2? no.  3? no.  4? no.,Try dividing by each small number. You only need to try up to the point where the pairs would cross over.
primes-en,en,Prime numbers,0:29,step 2 — only 1 and 13 work,"Exactly two factors: itself and one. Exactly two. Not one, not three. That is the definition."
primes-en,en,Prime numbers,0:37,step 3 — 1 is NOT prime,"1 has only one factor, so it fails the test. This catches people every year. 1 is not prime and 2 is — the only even one."
primes-en,en,Prime numbers,0:50,the trap,One last thing — the mistake to watch for. Careful: 1 is not prime.
primes-en,en,Prime numbers,0:58,close,That is the whole method. Try one yourself.
primes-fr,fr,Nombres premiers,0:00,the situation,13 biscuits. Peux-tu les partager équitablement dans un groupe ?
primes-fr,fr,Nombres premiers,0:06,why it matters,"Ni par 2, 3, 4, 5, 6… seulement 1 personne ou 13. 13 est donc premier."
primes-fr,fr,Nombres premiers,0:14,into the method,Voici comment faire.
primes-fr,fr,Nombres premiers,0:17,step 1 — 2? no.  3? no.  4? no.,Essaie de diviser par chaque petit nombre. Inutile d'aller au-delà du point où les paires se croisent.
primes-fr,fr,Nombres premiers,0:26,step 2 — only 1 and 13 work,"Exactement deux diviseurs : lui-même et un. Exactement deux. Ni un, ni trois. C'est la définition."
primes-fr,fr,Nombres premiers,0:34,step 3 — 1 is NOT prime,"1 n'a qu'un seul diviseur, il échoue au test. Ça piège tout le monde. 1 n'est pas premier et 2 l'est — le seul pair."
primes-fr,fr,Nombres premiers,0:46,the trap,Une dernière chose — l'erreur à éviter. Attention : 1 n'est pas premier.
primes-fr,fr,Nombres premiers,0:53,close,Voilà toute la méthode. Essaie-en une.
pvDigit-en,en,What a digit is worth,0:00,the situation,A stadium says 352 741 people came this season. Someone asks: is that a lot of 5s?
pvDigit-en,en,What a digit is worth,0:09,why it matters,There is one 5 in that number. But it is not worth five. It is worth fifty thousand.
pvDigit-en,en,What a digit is worth,0:18,into the method,Here is how to do it.
pvDigit-en,en,What a digit is worth,0:22,step 1 — 3 5 2   7 4 1,"Count the places from the right: ones, tens, hundreds, thousands, ten thousands, hundred thousands. Always from the right. The right-hand end is where counting starts."
pvDigit-en,en,What a digit is worth,0:34,step 2 — 5 is in the ten thousands,"The 5 is the fifth place along, which is ten thousands. Each step left multiplies by ten. That is the whole idea of place value."
pvDigit-en,en,What a digit is worth,0:46,step 3 — 5 × 10 000 = 50 000,"So the 5 is worth 50 000. Same digit, different place, different worth. Move it and the number changes completely."
pvDigit-en,en,What a digit is worth,0:57,close,That is the whole method. Try one yourself.
pvDigit-fr,fr,Ce que vaut un chiffre,0:00,the situation,Un stade annonce 352 741 spectateurs cette saison. Quelqu'un demande : ça fait beaucoup de 5 ?
pvDigit-fr,fr,Ce que vaut un chiffre,0:09,why it matters,Il y a un seul 5 dans ce nombre. Mais il ne vaut pas cinq. Il vaut cinquante mille.
pvDigit-fr,fr,Ce que vaut un chiffre,0:18,into the method,Voici comment faire.
pvDigit-fr,fr,Ce que vaut un chiffre,0:21,step 1 — 3 5 2   7 4 1,"Compte les places depuis la droite : unités, dizaines, centaines, milliers, dizaines de mille, centaines de mille. Toujours depuis la droite. C'est là que le comptage commence."
pvDigit-fr,fr,Ce que vaut un chiffre,0:35,step 2 — 5 is in the ten thousands,"Le 5 est à la cinquième place, celle des dizaines de mille. Chaque pas vers la gauche multiplie par dix. C'est toute l'idée de la valeur de position."
pvDigit-fr,fr,Ce que vaut un chiffre,0:48,step 3 — 5 × 10 000 = 50 000,"Donc le 5 vaut 50 000. Même chiffre, autre place, autre valeur. Déplace-le et le nombre change complètement."
pvDigit-fr,fr,Ce que vaut un chiffre,0:57,close,Voilà toute la méthode. Essaie-en une.
pvNeg-en,en,Below zero,0:00,the situation,It was 3 degrees at breakfast. By night it had dropped to 5 below zero.
pvNeg-en,en,Below zero,0:08,why it matters,"How far did it fall? Not 2. It fell 3 to reach zero, then 5 more. Eight."
pvNeg-en,en,Below zero,0:17,into the method,Here is how to do it.
pvNeg-en,en,Below zero,0:20,step 1 — count up to zero: 5,From −5 up to 0 is five steps. Zero is the meeting point. Always go there first and the sign stops confusing you.
pvNeg-en,en,Below zero,0:32,step 2 — then on to 3: 3,From 0 up to 3 is three more. The second half is ordinary counting. The minus sign was only ever in the first half.
pvNeg-en,en,Below zero,0:44,step 3 — 5 + 3 = 8,"Add the two halves: the gap is 8. Never subtract the two numbers. −5 and 3 are 8 apart, not 2."
pvNeg-en,en,Below zero,0:54,the trap,"One last thing — the mistake to watch for. Careful: count up to zero, then on."
pvNeg-en,en,Below zero,1:03,close,That is the whole method. Try one yourself.
pvNeg-fr,fr,Sous zéro,0:00,the situation,"Il faisait 3 degrés au petit déjeuner. La nuit, il faisait 5 sous zéro."
pvNeg-fr,fr,Sous zéro,0:07,why it matters,"De combien est-il descendu ? Pas 2. Il est descendu de 3 pour atteindre zéro, puis 5 de plus. Huit."
pvNeg-fr,fr,Sous zéro,0:18,into the method,Voici comment faire.
pvNeg-fr,fr,Sous zéro,0:21,step 1 — count up to zero: 5,"De −5 à 0, il y a cinq pas. Zéro est le point de rencontre. Va toujours là d'abord et les signes cessent d'embrouiller."
pvNeg-fr,fr,Sous zéro,0:32,step 2 — then on to 3: 3,"De 0 à 3, trois pas de plus. La seconde moitié est un comptage ordinaire. Le signe moins n'était que dans la première."
pvNeg-fr,fr,Sous zéro,0:44,step 3 — 5 + 3 = 8,"Additionne les deux moitiés : l'écart est 8. Ne soustrais jamais les deux nombres. −5 et 3 sont à 8 d'écart, pas 2."
pvNeg-fr,fr,Sous zéro,0:55,the trap,"Une dernière chose — l'erreur à éviter. Attention : compte jusqu'à zéro, puis continue."
pvNeg-fr,fr,Sous zéro,1:03,close,Voilà toute la méthode. Essaie-en une.
pvRound-en,en,Rounding,0:00,the situation,"A school trip needs coaches. 187 children are going, and each coach holds 50."
pvRound-en,en,Rounding,0:07,why it matters,Nobody says “about 187”. They say “about 200”. Rounding is saying a number the way people actually say it.
pvRound-en,en,Rounding,0:17,into the method,Here is how to do it.
pvRound-en,en,Rounding,0:21,step 1 — look at the hundreds: 4,"To round to the nearest thousand, look at the digit one place to the right. That digit is the whole decision. Nothing to the right of it matters at all."
pvRound-en,en,Rounding,0:35,step 2 — 4 is less than 5 → stay,"4 is less than 5, so the thousands stay as they are. It is nearer 3000 than 4000, and that is all rounding means: which is it closer to."
pvRound-en,en,Rounding,0:50,step 3 — 3 472 → 3 000,"Everything after the thousands becomes zero. You are not deleting the digits, you are saying the number to the nearest thousand."
pvRound-en,en,Rounding,1:00,close,That is the whole method. Try one yourself.
pvRound-fr,fr,Arrondir,0:00,the situation,"Une sortie scolaire a besoin de cars. 187 enfants partent, et chaque car prend 50."
pvRound-fr,fr,Arrondir,0:08,why it matters,"Personne ne dit « environ 187 ». On dit « environ 200 ». Arrondir, c'est dire un nombre comme les gens le disent vraiment."
pvRound-fr,fr,Arrondir,0:20,into the method,Voici comment faire.
pvRound-fr,fr,Arrondir,0:23,step 1 — look at the hundreds: 4,"Pour arrondir au millier, regarde le chiffre juste à droite. Ce chiffre décide de tout. Rien à sa droite ne compte."
pvRound-fr,fr,Arrondir,0:33,step 2 — 4 is less than 5 → stay,"4 est plus petit que 5, donc le millier ne bouge pas. Il est plus proche de 3000 que de 4000, et c'est tout ce que veut dire arrondir."
pvRound-fr,fr,Arrondir,0:47,step 3 — 3 472 → 3 000,"Tout ce qui suit le millier devient zéro. Tu n'effaces pas les chiffres, tu dis le nombre au millier le plus proche."
pvRound-fr,fr,Arrondir,0:58,close,Voilà toute la méthode. Essaie-en une.
ratioShare-en,en,Sharing unequally,0:00,the situation,"30 sweets shared between two brothers, 3 for one and 2 for the other each time."
ratioShare-en,en,Sharing unequally,0:08,why it matters,"Count the shares first. 3 and 2 makes 5 shares, not 2."
ratioShare-en,en,Sharing unequally,0:15,into the method,Here is how to do it.
ratioShare-en,en,Sharing unequally,0:19,step 1 — 3 + 2 = 5 shares,"Add the numbers in the ratio to find how many shares there are. This step is the one everybody skips, and skipping it makes every answer wrong."
ratioShare-en,en,Sharing unequally,0:32,step 2 — 30 ÷ 5 = 6,"Divide the total by the number of shares. One share is 6. Now you know what a single share is worth, and the rest is multiplying."
ratioShare-en,en,Sharing unequally,0:45,step 3 — 3 × 6 = 18  and  2 × 6 = 12,"18 and 12. They add back to 30. Always add your two answers back. If they do not make the total, something is wrong."
ratioShare-en,en,Sharing unequally,0:57,the trap,One last thing — the mistake to watch for. Careful: count the shares first.
